sp,Name,OName,n,RAJ2000,DEJ2000,ObsDate,MJD,TexpUVB,TexpVIS,TexpNIR,S_NUVB,S_NVIS,S_NNIR,Lup,SimbadName,SpT,Teff,AV,Dist,L_,e_L_,R_,e_R_,M_,E_M_,e_M_,l_Age,Age,Note,Temp,BJobs,BJi,logLacc,Veil,logdMacc,L_Lacc,WHa,Bmag,e_Bmag,Vmag,u_Vmag,e_Vmag,Rmag,e_Rmag,Imag,e_Imag,Zmag,e_Zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,l_F3.4,F3.4,e_F3.4,l_F3.6,F3.6,e_F3.6,l_F4.5,F4.5,e_F4.5,l_F4.6,F4.6,e_F4.6,l_F5.8,F5.8,e_F5.8,l_F8.0,F8.0,u_F8.0,e_F8.0,l_F12.8,F12.8,e_F12.8,l_F22.4,F22.4,e_F22.4,l_F24,F24,u_F24,e_F24,l_F70,F70,e_F70,SName,F_Ha_,e_F_Ha_,W_Ha_,e_W_Ha_,F_Hb_,e_F_Hb_,W_Hb_,e_W_Hb_,F_Hg_,e_F_Hg_,W_Hg_,e_W_Hg_,F_Hd_,e_F_Hd_,W_Hd_,e_W_Hd_,F_He_,f_F_He_,e_F_He_,W_He_,e_W_He_,F_H8_,e_F_H8_,W_H8_,e_W_H8_,F_H9_,e_F_H9_,W_H9_,e_W_H9_,l_F_H10_,F_H10_,e_F_H10_,W_H10_,e_W_H10_,l_F_H11_,F_H11_,e_F_H11_,W_H11_,e_W_H11_,l_F_H12_,F_H12_,e_F_H12_,W_H12_,e_W_H12_,l_F_H13_,F_H13_,e_F_H13_,W_H13_,e_W_H13_,l_F_H14_,F_H14_,e_F_H14_,W_H14_,e_W_H14_,l_F_H15_,F_H15_,e_F_H15_,W_H15_,e_W_H15_,l_F_Pab_,F_Pab_,e_F_Pab_,W_Pab_,e_W_Pab_,l_F_Pag_,F_Pag_,e_F_Pag_,W_Pag_,e_W_Pag_,l_F_Pad_,F_Pad_,e_F_Pad_,W_Pad_,e_W_Pad_,l_F_Pa8_,F_Pa8_,e_F_Pa8_,W_Pa8_,e_W_Pa8_,l_F_Pa9_,F_Pa9_,e_F_Pa9_,W_Pa9_,e_W_Pa9_,l_F_Pa10_,F_Pa10_,e_F_Pa10_,W_Pa10_,e_W_Pa10_,l_F_Brg_,F_Brg_,e_F_Brg_,W_Brg_,e_W_Brg_,l_F_Br8_,F_Br8_,e_F_Br8_,W_Br8_,e_W_Br8_,l_F_HeI_1,F_HeI_1,e_F_HeI_1,W_HeI_1,e_W_HeI_1,l_F_HeI_2,F_HeI_2,e_F_HeI_2,W_HeI_2,e_W_HeI_2,l_F_HeI_3,F_HeI_3,e_F_HeI_3,W_HeI_3,e_W_HeI_3,l_F_HeI_4,F_HeI_4,e_F_HeI_4,W_HeI_4,e_W_HeI_4,F_HeI_5,e_F_HeI_5,W_HeI_5,e_W_HeI_5,l_F_HeI_6,F_HeI_6,e_F_HeI_6,W_HeI_6,e_W_HeI_6,l_F_HeI_7,F_HeI_7,e_F_HeI_7,W_HeI_7,e_W_HeI_7,l_F_HeI_8,F_HeI_8,e_F_HeI_8,W_HeI_8,e_W_HeI_8,l_F_HeI_9,F_HeI_9,e_F_HeI_9,W_HeI_9,e_W_HeI_9,l_F_HeII_,F_HeII_,e_F_HeII_,W_HeII_,e_W_HeII_,f_F_CaII_5,l_F_CaII_1,F_CaII_1,e_F_CaII_1,W_CaII_1,e_W_CaII_1,l_F_CaII_2,F_CaII_2,e_F_CaII_2,W_CaII_2,e_W_CaII_2,l_F_CaII_3,F_CaII_3,e_F_CaII_3,W_CaII_3,e_W_CaII_3,l_F_CaII_4,F_CaII_4,e_F_CaII_4,W_CaII_4,e_W_CaII_4,l_F_CaII_5,F_CaII_5,e_F_CaII_5,W_CaII_5,e_W_CaII_5,F_NaI_1,e_F_NaI_1,W_NaI_1,e_W_NaI_1,F_NaI_2,e_F_NaI_2,W_NaI_2,e_W_NaI_2
sp,Sz66,,+,15 39 28.28,-34 46 18.0,2012-04-18,56035.2516,2x300,2x250,2x100,40,140,55,1,Sz66,M3.0,3415,1.00,150,0.200,0.092,1.29,0.30,0.45,0.05,0.15,,4,,SO797,1.50,1.90,-1.8,0.45,-8.73,0.09,460,16.45,0.01,15.00,,0.01,14.51,0.01,12.56,0.01,11.53,0.02,10.89,0.03,9.88,0.03,9.29,0.03,,115.32,4.14,,95.80,4.98,,81.50,4.98,,106.18,3.32,,82.50,3.99,,100.00,,4.84,,95.31,2.90,,144.77,8.80,,167.00,,15.50,<,50.0,,Sz66,6.6e-13,8e-15,-6.471,0.223,1.2e-13,3e-15,-2.453,0.137,7.9e-14,3.8e-15,-2.195,0.188,6.2e-14,2.8e-15,-1.978,0.140,4.7e-14,+,2.1e-15,-1.613,0.181,4.5e-14,4.5e-15,-1.668,0.312,3.5e-14,4e-16,-1.284,0.025,,3.1e-14,1.8e-15,-1.112,0.100,,2.6e-14,8e-16,-0.929,0.044,,2.1e-14,1.5e-15,-0.720,0.075,,1.5e-14,4e-16,-0.476,0.025,,1.1e-14,3e-16,-0.358,0.011,,9.6e-15,2.9e-16,-0.273,0.012,,4.8e-14,6.2e-15,-0.216,0.036,,4.3e-14,1e-14,-0.220,0.050,,3.5e-14,2.4e-15,-0.152,0.011,,2.4e-14,2.8e-15,-0.092,0.012,,2.6e-14,4.2e-15,-0.100,0.018,,2.3e-14,3.9e-15,-0.136,0.020,,1.2e-14,2.9e-15,-0.131,0.032,<,1.4e-14,,,,,6.6e-15,5.8e-16,-0.214,0.030,,1.2e-14,7e-16,-0.311,0.024,,1.7e-15,2.5e-16,-0.037,0.006,,4.6e-15,2e-16,-0.112,0.006,1.8e-14,8e-16,-0.310,0.022,,8e-15,4.3e-16,-0.108,0.007,,5e-15,1.1e-16,-0.049,0.001,,3.4e-14,6.1e-15,-0.152,0.032,,6e-15,7.2e-16,-0.110,0.017,,3.3e-15,2.9e-16,-0.077,0.008,,,4.7e-14,6e-16,-1.717,0.105,,6.2e-14,1e-15,-2.240,0.058,,3.8e-14,6e-16,-0.203,0.004,,4.7e-14,1.6e-15,-0.268,0.011,,4.4e-14,2.2e-15,-0.221,0.013,2e-14,4e-16,-0.335,0.045,1.4e-14,6e-16,-0.236,0.043
sp,AKC2006-19,,,15 44 57.90,-34 23 39.5,2011-04-23,55674.1966,2x900,2x900,2x900,7,50,40,1,[AKC2006] 19,M5.0,3125,0.00,150,0.016,0.008,0.44,0.10,0.10,0.03,0.02,,13,"1,2",SO641,0.60,14.67,-4.1,0.04,-10.85,0.16,228,18.38,0.05,17.74,,0.05,17.04,0.01,14.91,0.01,14.09,0.01,12.98,0.02,12.41,0.02,12.13,0.02,,5.46,0.12,,5.48,0.27,,4.06,0.27,,4.03,0.08,,3.29,0.16,,3.73,,0.18,,3.84,0.15,,7.54,0.89,,3.44,,0.38,<,50.0,,AKC2006-19,8.8e-15,2.8e-16,-2.946,0.290,1.9e-15,6e-17,-2.643,0.324,1.2e-15,4e-17,-3.216,0.521,8.4e-16,5.6e-17,-2.550,0.775,6.5e-16,,6.8e-17,-1.991,0.395,5.6e-16,4.7e-17,-1.979,1.050,4.1e-16,5.2e-17,-1.884,0.726,,3.3e-16,3.6e-17,-1.598,0.598,,2.4e-16,2.7e-17,-1.407,0.656,,2.1e-16,1.5e-17,-1.646,0.428,,1.7e-16,1.3e-17,-0.975,0.379,,1.4e-16,1.2e-17,-1.023,0.315,,9e-17,2.3e-17,-0.487,0.350,<,4.9e-16,,,,,5.4e-16,2.2e-16,-0.034,0.014,<,5.1e-16,,,,<,4.1e-16,,,,<,1.8e-16,,,,<,1.4e-16,,,,,,,,,<,6.6e-16,,,,,5.4e-17,1.5e-17,-0.134,0.058,,7.4e-17,1.7e-17,-0.139,0.052,<,5.6e-18,,,,,2.6e-17,3.9e-18,-0.038,0.007,1.9e-16,4e-17,-0.193,0.059,,8e-17,1.5e-17,-0.038,0.008,,5.7e-17,1.8e-17,-0.019,0.007,<,1.5e-15,,,,,6.5e-17,1.5e-17,-0.058,0.015,,3.5e-17,7.1e-18,-0.052,0.012,,,6.2e-16,2.3e-17,-2.488,1.120,,5.7e-16,6e-18,-1.760,0.225,,2.4e-16,1.7e-17,-0.028,0.002,,,,,,,,,,,5.7e-17,1.7e-17,-0.049,0.026,7.4e-17,1e-17,-0.063,0.032
sp,Sz69,HW Lup,+,15 45 17.42,-34 18 28.5,2011-04-23,55674.0991,2x300,2x300,2x300,12,70,60,1,Sz69,M4.5,3197,0.00,150,0.088,0.041,0.97,0.22,0.20,0.00,0.03,,3,,SO797,2.83,4.50,-2.8,0.18,-9.50,0.55,403,17.41,0.06,16.25,,0.06,14.84,0.01,13.63,0.01,12.28,0.01,11.18,0.03,10.16,0.03,9.41,0.03,,131.07,2.66,,111.00,5.84,,120.00,5.84,,127.54,2.11,,94.60,4.59,,83.00,,4.12,,79.43,1.17,,144.91,3.07,,100.00,,9.72,,154.0,20.1,Sz69,7.4e-13,4e-15,-35.598,1.500,5.3e-14,5e-16,-9.233,0.511,1.8e-14,4e-16,-4.442,0.439,9.8e-15,3.9e-16,-2.743,0.347,7.5e-15,,8.9e-16,-1.891,0.528,6.7e-15,3.5e-16,-1.851,0.285,6.5e-15,5.7e-16,-2.206,0.468,,5.5e-15,5.6e-16,-1.776,0.597,,4.9e-15,4.7e-16,-1.615,0.452,,5.4e-15,5.6e-16,-1.779,0.596,,5.2e-15,5.3e-16,-2.072,0.477,,5e-15,3.2e-16,-1.796,0.304,,4.5e-15,1.8e-16,-1.883,0.143,,4.2e-14,7.5e-15,-0.334,0.069,,2e-14,2.1e-15,-0.180,0.021,,2.1e-14,1.4e-15,-0.220,0.017,,1.7e-14,1.1e-15,-0.209,0.013,,1.4e-14,1.3e-15,-0.160,0.018,,1.3e-14,1.3e-15,-0.167,0.019,,6.4e-15,1.1e-15,-0.079,0.014,,2.3e-14,6.1e-15,-0.226,0.068,,3.2e-16,1.1e-16,-0.091,0.040,,7.3e-16,8.1e-17,-0.162,0.027,,,,,,,3.5e-16,3.6e-17,-0.063,0.008,3.3e-15,2e-16,-0.343,0.034,,1.1e-15,7e-17,-0.071,0.005,,6.3e-16,3e-17,-0.029,0.002,,1.2e-14,1.8e-15,-0.105,0.017,,4.3e-15,9e-17,-0.627,0.025,<,5.4e-17,,,,+,,5.1e-14,4e-16,-11.236,1.230,,2.8e-14,3e-16,-7.092,1.620,,7.2e-14,2e-16,-1.446,0.008,,8.1e-14,3e-16,-1.550,0.015,,6.4e-14,6e-16,-1.032,0.018,7.2e-15,3.4e-16,-0.709,0.049,5.2e-15,2.9e-16,-0.509,0.047
sp,Sz71,GW Lup,,15 46 44.73,-34 30 35.5,2012-04-18,56035.0949,2x300,2x250,2x100,40,110,52,1,Sz71,M1.5,3632,0.50,150,0.309,0.142,1.43,0.33,0.62,0.02,0.17,,4,,TWA15A,1.19,2.65,-2.2,0.08,-9.23,0.24,350,13.80,0.01,13.54,,0.01,13.70,0.01,11.83,0.01,11.28,0.02,10.07,0.02,9.18,0.02,8.63,0.02,,126.92,2.69,,,,,,,,104.53,2.02,,,,,140.00,:,,,163.97,2.27,,276.62,6.12,,260.00,:,,,,,Sz71,1.2e-12,1e-14,-7.905,0.246,1.4e-13,5e-15,-2.253,0.158,7.8e-14,3.4e-15,-1.919,0.168,6.8e-14,4.2e-15,-2.528,0.283,5.3e-14,,6.1e-15,-1.911,0.613,4.9e-14,2.8e-15,-2.581,0.325,3.9e-14,1.3e-15,-2.207,0.137,,3.2e-14,1.5e-15,-1.762,0.135,,2.5e-14,1.3e-15,-1.346,0.125,,1.8e-14,2e-16,-0.932,0.019,,1.2e-14,4e-16,-0.560,0.034,,9.4e-15,2.9e-16,-0.395,0.021,,7.8e-15,5.9e-16,-0.382,0.036,,4.3e-14,6.8e-15,-0.195,0.038,,3.1e-14,6.8e-15,-0.141,0.032,,2.3e-14,4.2e-15,-0.098,0.019,<,2e-14,,,,,1.5e-14,2.4e-15,-0.055,0.009,<,9.5e-15,,,,,6.9e-15,8.3e-16,-0.084,0.042,,,,,,,3.8e-15,2.6e-16,-0.152,0.015,,5.6e-15,7.1e-16,-0.112,0.018,,7.9e-16,2.1e-16,-0.013,0.004,,2.4e-15,6.3e-16,-0.045,0.014,9.4e-15,8.3e-16,-0.102,0.011,,2.7e-15,3.5e-16,-0.022,0.003,,2.5e-15,2.1e-16,-0.017,0.002,,5.9e-14,6.4e-15,-0.263,0.038,,2.8e-15,7.7e-16,-0.040,0.012,,2.6e-15,4.2e-16,-0.044,0.008,,,3.7e-14,4e-16,-1.978,0.089,,4.7e-14,1.3e-15,-2.219,0.105,,1.8e-14,4e-16,-0.088,0.002,,2.2e-14,1e-16,-0.120,0.001,,1.9e-14,3e-16,-0.096,0.002,1.6e-14,2e-16,-0.164,0.025,1.2e-14,2e-16,-0.128,0.022
sp,Sz72,HM Lup,,15 47 50.63,-35 28 35.4,2012-04-18,56035.1926,2x300,2x250,2x100,33,95,39,1,Sz72,M2.0,3560,0.75,150,0.252,0.116,1.29,0.30,0.45,0.12,0.00,,3,,TWA9B,2.73,3.70,-1.8,0.23,-8.73,0.28,455,15.96,0.01,14.79,,0.01,13.55,0.02,12.25,0.02,,,10.57,0.03,9.77,0.03,9.33,0.02,,101.09,2.14,,,,,,,,92.31,1.79,,,,,150.00,:,,,130.72,1.69,,232.86,3.86,,250.00,:,,,,,Sz72,1.8e-12,2e-14,-13.088,0.570,4.2e-13,3e-15,-7.808,0.320,1.9e-13,2e-15,-4.911,0.141,1.3e-13,3e-15,-4.224,0.284,9.8e-14,+,3.9e-15,-2.821,0.389,9e-14,5e-16,-3.087,0.048,8.6e-14,3.5e-15,-3.744,0.574,,7.3e-14,2.2e-15,-3.169,0.329,,6.3e-14,9e-16,-1.990,0.102,,5.8e-14,2e-15,-2.250,0.242,,5.5e-14,2.6e-15,-2.000,0.155,,4.4e-14,2.9e-15,-1.969,0.238,,3.6e-14,1.8e-15,-1.223,0.177,,1.5e-13,1.5e-14,-0.716,0.099,,1.1e-13,1.4e-14,-0.523,0.073,,7.7e-14,1.4e-15,-0.343,0.008,,6.3e-14,2e-15,-0.241,0.009,,5.6e-14,2.2e-15,-0.209,0.009,,5.2e-14,6.1e-15,-0.213,0.030,,4e-14,7.1e-15,-0.447,0.090,,7.5e-14,9.7e-15,-0.728,0.127,,6e-15,6e-16,-0.211,0.035,,1.2e-14,5e-16,-0.286,0.020,,9.3e-16,2.7e-16,-0.017,0.005,,4.7e-15,6.5e-16,-0.092,0.013,2.9e-14,1.4e-15,-0.356,0.027,,7.7e-15,5.5e-16,-0.072,0.006,,4.4e-15,5.4e-16,-0.031,0.004,,1.4e-13,7e-15,-0.581,0.040,,3.7e-14,1e-16,-0.555,0.002,,1.8e-15,4.7e-16,-0.037,0.011,+,,4.7e-13,2e-15,-14.451,1.360,,3e-13,2e-15,-9.210,0.534,,3.6e-13,3e-15,-1.726,0.033,,4.1e-13,5e-15,-2.005,0.063,,3.3e-13,4e-15,-1.532,0.041,5.4e-14,1.7e-15,-0.652,0.041,3.8e-14,1.7e-15,-0.466,0.032
sp,Sz73,,,15 47 56.94,-35 14 34.8,2012-04-18,56035.2923,2x300,2x250,2x100,20,115,55,1,Sz73,K7,4060,3.50,150,0.419,0.193,1.35,0.31,1.00,0.00,0.00,,9,,SO879,1.05,2.08,-1.0,0.22,-8.26,0.05,504,18.21,0.04,16.37,,0.02,14.90,0.02,13.44,0.01,,,10.74,0.03,9.53,0.03,8.83,0.02,,303.61,6.71,,,,,,,,361.43,6.66,,,,,500.00,:,,,421.46,5.82,,920.21,10.17,,1200.00,:,,,,,Sz73,2.6e-12,3e-14,-6.510,0.263,6e-13,2.5e-14,-2.288,0.255,3e-13,1.8e-14,-1.457,0.167,2.2e-13,1.6e-14,-1.497,0.239,2e-13,+,3e-14,-2.174,0.480,1.7e-13,1.1e-14,-1.596,0.255,1.3e-13,1.3e-14,-1.623,0.226,,9.5e-14,1e-14,-0.846,0.187,,8.2e-14,5.2e-15,-0.759,0.075,,7.5e-14,6.3e-15,-0.766,0.120,,6.9e-14,6.1e-15,-0.665,0.100,,5.6e-14,8e-16,-0.584,0.036,,3.9e-14,5.9e-15,-0.349,0.102,,2.4e-13,2.6e-14,-0.729,0.107,,1.7e-13,2.5e-14,-0.473,0.087,,1.1e-13,8e-15,-0.294,0.026,,6.8e-14,4.5e-15,-0.153,0.012,,5.6e-14,6.1e-15,-0.123,0.014,,3.5e-14,8.3e-15,-0.081,0.021,,6e-14,1.3e-14,-0.353,0.085,<,4e-14,,,,,9.5e-15,1.6e-15,-0.069,0.016,,2.4e-14,2.1e-15,-0.105,0.012,<,1.8e-15,,,,,1.4e-14,4e-15,-0.067,0.022,4.9e-14,1.1e-15,-0.134,0.004,,5.5e-15,7.6e-16,-0.015,0.002,,1.1e-14,3e-16,-0.029,0.001,,2.1e-13,1.6e-14,-0.578,0.062,,3.1e-14,3.3e-15,-0.106,0.002,,8.6e-15,1.4e-15,-0.032,0.006,,,3.4e-13,7e-15,-3.128,0.348,,2.4e-13,6e-15,-1.929,0.109,,1.7e-13,1e-15,-0.428,0.003,,2.3e-13,2e-15,-0.617,0.009,,2.1e-13,3e-15,-0.533,0.009,7e-14,5e-16,-0.186,0.021,5e-14,9e-16,-0.132,0.017
sp,Sz74,HN Lup,,15 48 05.23,-35 15 52.8,2012-04-18,56035.1695,2x150,2x100,2x50,22,135,45,1,Sz74,M3.5,3342,1.50,150,1.043,0.480,3.13,0.72,0.50,0.10,0.10,,1,,TWA15A,0.90,1.46,-1.5,0.10,-8.09,0.07,401,15.96,0.02,14.18,,0.01,12.98,0.02,11.44,0.01,,,9.23,0.02,8.10,0.03,7.43,0.02,,865.99,28.71,,,,,,,,897.90,20.68,,,,,,,,,759.20,10.49,,1386.40,16.60,,,,,,,,Sz74,1.1e-12,3e-14,-2.297,0.139,2.4e-13,1.1e-14,-1.196,0.104,1.1e-13,6e-15,-0.821,0.070,8.9e-14,1.1e-14,-0.844,0.179,7.8e-14,+,9.6e-15,-1.231,0.233,5.6e-14,9.9e-15,-0.772,0.228,4.8e-14,5.2e-15,-0.600,0.135,,4.6e-14,8.2e-15,-0.681,0.222,,3.9e-14,3.5e-15,-0.573,0.091,,2.8e-14,3.9e-15,-0.428,0.107,,2.5e-14,9e-16,-0.320,0.039,,2e-14,3.2e-15,-0.338,0.102,,1.5e-14,1.7e-15,-0.305,0.053,,6.4e-14,2.3e-14,-0.053,0.020,,7.4e-14,2.4e-14,-0.072,0.021,,3.7e-14,1.4e-15,-0.032,0.001,<,2.8e-14,,,,,2.4e-14,9.7e-15,-0.034,0.008,<,1.2e-14,,,,,2.5e-14,1e-14,-0.042,0.032,,,,,,,6.7e-15,1.6e-15,-0.068,0.022,,1.6e-14,1.3e-15,-0.100,0.011,<,7.8e-16,,,,,1e-14,1.7e-15,-0.065,0.013,3e-14,2.8e-15,-0.106,0.012,,9.2e-15,1.4e-15,-0.023,0.004,,6.8e-15,3.1e-16,-0.013,0.001,,5.8e-14,1.1e-14,-0.048,0.010,,1.4e-14,1.2e-15,-0.058,0.006,,5.2e-15,1.1e-15,-0.028,0.007,,,1.6e-13,3e-15,-2.363,0.255,,1.4e-13,4e-15,-1.509,0.107,,9.2e-14,3e-15,-0.097,0.004,,9.7e-14,4.7e-15,-0.108,0.006,,9.9e-14,1.3e-15,-0.099,0.001,2.8e-14,1.4e-15,-0.090,0.023,1.5e-14,1.4e-15,-0.049,0.016
