sp,Name,OName,n,RAJ2000,DEJ2000,ObsDate,MJD,TexpUVB,TexpVIS,TexpNIR,S_NUVB,S_NVIS,S_NNIR,Lup,SimbadName,SpT,Teff,AV,Dist,L_,e_L_,R_,e_R_,M_,E_M_,e_M_,l_Age,Age,Note,Temp,BJobs,BJi,logLacc,Veil,logdMacc,L_Lacc,WHa,Bmag,e_Bmag,Vmag,u_Vmag,e_Vmag,Rmag,e_Rmag,Imag,e_Imag,Zmag,e_Zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,l_F3.4,F3.4,e_F3.4,l_F3.6,F3.6,e_F3.6,l_F4.5,F4.5,e_F4.5,l_F4.6,F4.6,e_F4.6,l_F5.8,F5.8,e_F5.8,l_F8.0,F8.0,u_F8.0,e_F8.0,l_F12.8,F12.8,e_F12.8,l_F22.4,F22.4,e_F22.4,l_F24,F24,u_F24,e_F24,l_F70,F70,e_F70,SName,F_Ha_,e_F_Ha_,W_Ha_,e_W_Ha_,F_Hb_,e_F_Hb_,W_Hb_,e_W_Hb_,F_Hg_,e_F_Hg_,W_Hg_,e_W_Hg_,F_Hd_,e_F_Hd_,W_Hd_,e_W_Hd_,F_He_,f_F_He_,e_F_He_,W_He_,e_W_He_,F_H8_,e_F_H8_,W_H8_,e_W_H8_,F_H9_,e_F_H9_,W_H9_,e_W_H9_,l_F_H10_,F_H10_,e_F_H10_,W_H10_,e_W_H10_,l_F_H11_,F_H11_,e_F_H11_,W_H11_,e_W_H11_,l_F_H12_,F_H12_,e_F_H12_,W_H12_,e_W_H12_,l_F_H13_,F_H13_,e_F_H13_,W_H13_,e_W_H13_,l_F_H14_,F_H14_,e_F_H14_,W_H14_,e_W_H14_,l_F_H15_,F_H15_,e_F_H15_,W_H15_,e_W_H15_,l_F_Pab_,F_Pab_,e_F_Pab_,W_Pab_,e_W_Pab_,l_F_Pag_,F_Pag_,e_F_Pag_,W_Pag_,e_W_Pag_,l_F_Pad_,F_Pad_,e_F_Pad_,W_Pad_,e_W_Pad_,l_F_Pa8_,F_Pa8_,e_F_Pa8_,W_Pa8_,e_W_Pa8_,l_F_Pa9_,F_Pa9_,e_F_Pa9_,W_Pa9_,e_W_Pa9_,l_F_Pa10_,F_Pa10_,e_F_Pa10_,W_Pa10_,e_W_Pa10_,l_F_Brg_,F_Brg_,e_F_Brg_,W_Brg_,e_W_Brg_,l_F_Br8_,F_Br8_,e_F_Br8_,W_Br8_,e_W_Br8_,l_F_HeI_1,F_HeI_1,e_F_HeI_1,W_HeI_1,e_W_HeI_1,l_F_HeI_2,F_HeI_2,e_F_HeI_2,W_HeI_2,e_W_HeI_2,l_F_HeI_3,F_HeI_3,e_F_HeI_3,W_HeI_3,e_W_HeI_3,l_F_HeI_4,F_HeI_4,e_F_HeI_4,W_HeI_4,e_W_HeI_4,F_HeI_5,e_F_HeI_5,W_HeI_5,e_W_HeI_5,l_F_HeI_6,F_HeI_6,e_F_HeI_6,W_HeI_6,e_W_HeI_6,l_F_HeI_7,F_HeI_7,e_F_HeI_7,W_HeI_7,e_W_HeI_7,l_F_HeI_8,F_HeI_8,e_F_HeI_8,W_HeI_8,e_W_HeI_8,l_F_HeI_9,F_HeI_9,e_F_HeI_9,W_HeI_9,e_W_HeI_9,l_F_HeII_,F_HeII_,e_F_HeII_,W_HeII_,e_W_HeII_,f_F_CaII_5,l_F_CaII_1,F_CaII_1,e_F_CaII_1,W_CaII_1,e_W_CaII_1,l_F_CaII_2,F_CaII_2,e_F_CaII_2,W_CaII_2,e_W_CaII_2,l_F_CaII_3,F_CaII_3,e_F_CaII_3,W_CaII_3,e_W_CaII_3,l_F_CaII_4,F_CaII_4,e_F_CaII_4,W_CaII_4,e_W_CaII_4,l_F_CaII_5,F_CaII_5,e_F_CaII_5,W_CaII_5,e_W_CaII_5,F_NaI_1,e_F_NaI_1,W_NaI_1,e_W_NaI_1,F_NaI_2,e_F_NaI_2,W_NaI_2,e_W_NaI_2
sp,Sz111,Hen 3-1145,,16 08 54.69,-39 37 43.1,2012-04-18,56035.1229,2x300,2x250,2x100,50,90,45,3,Sz111,M1,3705,0.00,200,0.330,0.152,1.40,0.32,0.75,0.05,0.13,,6,,TWA13A,1.36,9.60,-2.2,0.04,-9.32,0.41,455,15.34,0.05,13.98,,0.05,13.29,0.05,12.24,0.01,,,10.62,0.02,9.80,0.02,9.54,0.02,,50.76,1.08,,,,,,,,31.48,0.55,,,,,,,,,8.47,0.26,,42.18,1.40,,41.50,,3.86,<,50.0,,Sz111,1.1e-12,1e-14,-8.433,0.325,9.9e-14,4.1e-15,-1.990,0.144,6.7e-14,3.7e-15,-2.203,0.226,5.5e-14,3e-15,-2.301,0.216,4.6e-14,,1.4e-15,-2.272,0.136,4.1e-14,2.4e-15,-2.173,0.232,3.6e-14,2.2e-15,-1.994,0.216,,2.6e-14,1.2e-15,-1.337,0.093,,1.9e-14,1.1e-15,-0.942,0.007,,1.3e-14,2e-16,-0.570,0.014,,8.6e-15,6.9e-16,-0.361,0.037,,6.7e-15,2.2e-16,-0.288,0.013,,6.1e-15,3e-16,-0.254,0.016,,5.7e-14,1e-14,-0.344,0.073,,4.9e-14,9.7e-15,-0.257,0.057,,3.5e-14,5.1e-15,-0.193,0.031,,1.4e-14,5e-16,-0.064,0.002,,1.6e-14,1.7e-15,-0.075,0.008,,1.2e-14,2.6e-15,-0.060,0.014,,1e-14,3.1e-15,-0.154,0.048,<,2.8e-14,,,,,4.6e-15,2.8e-16,-0.212,0.022,,6.8e-15,4.5e-16,-0.161,0.015,,1.7e-15,3.7e-16,-0.035,0.009,,3.6e-15,5.5e-16,-0.085,0.016,1.1e-14,4e-16,-0.121,0.005,,4.4e-15,4.1e-16,-0.038,0.004,,4.3e-15,1.1e-16,-0.032,0.001,,4.4e-14,4.2e-15,-0.232,0.027,,3.3e-15,4.8e-16,-0.060,0.010,,4.4e-15,3e-16,-0.089,0.008,,,1.3e-14,2e-16,-0.731,0.032,,2.5e-14,9e-16,-1.199,0.086,,1.1e-14,2e-16,-0.073,0.002,,1.3e-14,2e-16,-0.096,0.002,,1.3e-14,2e-16,-0.092,0.002,6.4e-15,1.3e-16,-0.071,0.021,4.3e-15,4.8e-16,-0.048,0.014
sp,Sz112,,,16 08 55.52,-39 02 33.9,2012-04-18,56035.2644,2x350,2x300,2x350,20,40,35,3,Sz112,M5.0,3125,0.00,200,0.191,0.088,1.52,0.35,0.25,0.00,0.08,,1,,SO641,0.40,1.40,-3.2,0.03,-9.81,0.15,160,16.62,0.05,15.39,,0.05,14.92,0.01,12.93,0.01,12.12,0.01,11.00,0.02,10.29,0.02,9.96,0.02,,49.42,1.14,,48.70,2.96,,38.00,2.96,,39.38,0.69,,30.40,1.49,,24.80,,1.22,,38.33,0.64,,152.72,3.66,,124.00,,11.70,,120.0,25.2,Sz112,4.7e-14,1.7e-15,-1.782,0.172,7.3e-15,2.3e-16,-1.173,0.117,3.8e-15,1.4e-16,-0.970,0.100,2.5e-15,1.4e-16,-0.816,0.129,2e-15,,2.6e-16,-1.020,0.459,1.5e-15,2.1e-16,-1.075,0.413,1.2e-15,8e-17,-0.761,0.148,,8.8e-16,9.2e-17,-0.572,0.177,,6.5e-16,7.3e-17,-0.394,0.099,,4.6e-16,4.3e-17,-0.385,0.082,,4e-16,3.5e-17,-0.294,0.067,,3.1e-16,5e-17,-0.375,0.195,,2.9e-16,6.5e-17,-0.375,0.134,<,2.3e-15,,,,<,1.8e-15,,,,,,,,,,,,,,,,,,,,,,,,<,2.9e-15,,,,,,,,,,1.3e-16,3.5e-17,-0.039,0.013,,1.8e-16,2.9e-17,-0.037,0.007,,,,,,,1.5e-16,2.5e-17,-0.028,0.005,6.5e-16,6e-17,-0.064,0.008,,4e-16,7.8e-17,-0.021,0.004,,2.1e-16,2.1e-17,-0.007,0.001,<,2.5e-14,,,,,1.4e-16,5.2e-17,-0.013,0.005,,6.8e-17,1.7e-17,-0.012,0.003,,,3e-15,1e-16,-2.221,0.863,,2.7e-15,7e-17,-1.396,0.229,<,2e-15,,,,<,1.2e-15,,,,,,,,,4.9e-16,5.2e-17,-0.043,0.015,2.6e-16,2e-17,-0.023,0.016
sp,Sz113,,,16 08 57.80,-39 02 22.7,2011-04-23,55674.3566,2x900,2x900,2x900,15,70,38,3,Sz113,M4.5,3197,1.00,200,0.064,0.030,0.83,0.19,0.17,0.03,0.04,,3,,SO797,1.86,2.29,-2.1,0.56,-8.80,0.20,392,17.46,0.05,16.50,,0.05,16.73,0.01,14.65,0.01,13.69,0.01,12.47,0.02,11.72,0.02,11.26,0.02,,25.09,0.56,,15.40,0.89,,15.00,0.89,,26.16,0.43,,14.90,0.72,,20.50,,0.99,,32.39,0.51,,59.69,1.76,,56.10,,5.35,,88.3,16.0,Sz113,2.6e-13,1e-15,-21.220,0.581,5.9e-14,6e-16,-11.030,0.872,3e-14,6e-16,-8.414,1.410,2e-14,6e-16,-4.798,0.657,1.6e-14,+,8e-16,-1.250,0.155,1.4e-14,8e-16,-2.578,0.532,1.3e-14,1e-15,-3.011,0.611,,1.3e-14,1.1e-15,-3.200,0.710,,1.1e-14,5e-16,-1.572,0.222,,1e-14,6.4e-16,-1.632,0.210,,9.7e-15,1.9e-16,-1.822,0.133,,7.6e-15,1.9e-16,-2.103,0.063,,5.1e-15,3.4e-16,-2.028,0.544,,2.6e-14,2.1e-15,-0.679,0.071,,1.8e-14,1.2e-15,-0.425,0.035,,1.3e-14,6e-16,-0.352,0.020,,9.6e-15,4e-16,-0.188,0.011,,7.6e-15,5.9e-16,-0.198,0.019,,6.2e-15,4.9e-16,-0.170,0.016,,5.8e-15,1.2e-15,-0.346,0.084,,6.2e-15,1.5e-15,-0.340,0.097,,1.8e-15,2.9e-16,-0.478,0.160,,1.4e-15,1.2e-16,-0.280,0.051,,1.7e-16,4.3e-17,-0.035,0.010,,7e-16,1e-16,-0.140,0.020,4.2e-15,2.5e-16,-0.667,0.083,,2.1e-15,8e-17,-0.249,0.014,,7.3e-16,1.5e-17,-0.058,0.002,,1.8e-14,1.4e-15,-0.425,0.045,,1.6e-14,4e-16,-2.455,0.317,,3.3e-16,3.1e-17,-0.082,0.010,+,,1.4e-13,1e-15,-11.947,0.961,,7.5e-14,1e-15,-10.067,2.400,,1.2e-13,2e-15,-4.760,0.305,,1.3e-13,1e-15,-5.039,0.107,,1.1e-13,1e-15,-3.721,0.071,1.1e-14,3e-16,-1.673,0.050,8.7e-15,2.6e-16,-1.282,0.056
sp,2MASS J16085953-3856275,,+,16 08 59.53,-38 56 27.6,2011-04-23,55674.2808,4x900,4x900,4x900,5,18,20,3,[EDJ2009]  74,M8.5,2600,0.00,200,0.009,0.004,0.47,0.11,0.03,0.01,0.01,,1,"1,2",TWA26,3.69,15.00,-4.6,0.08,-10.80,0.39,147,,,,,,19.79,0.04,16.91,0.02,15.56,0.02,13.90,0.03,13.29,0.03,12.84,0.03,,3.42,0.07,,3.89,0.21,,3.69,0.21,,3.66,0.07,,3.77,0.23,,4.31,,0.21,,4.94,0.18,,8.37,0.95,,5.40,,0.57,<,50.0,,2MASS J1608,3.2e-15,4e-17,-12.510,1.650,8.4e-16,2.1e-17,-7.482,2.590,5.5e-16,2.2e-17,-6.158,3.070,4.2e-16,2e-17,-5.167,3.360,3.8e-16,,1.1e-17,-3.787,0.981,2.9e-16,1.9e-17,-2.198,1.170,1.7e-16,1.5e-17,-1.074,0.411,,1.2e-16,7e-18,-0.878,0.279,,9.6e-17,1.3e-17,-0.962,0.392,,5.8e-17,1.2e-17,-0.450,0.251,<,5.8e-17,,,,<,5.4e-17,,,,<,5.6e-17,,,,<,1.4e-16,,,,<,3.5e-16,,,,<,2.8e-16,,,,<,1.9e-16,,,,<,1.3e-16,,,,<,6.9e-17,,,,<,1.7e-16,,,,<,5.6e-16,,,,<,1.3e-17,,,,<,4.8e-17,,,,<,1.5e-17,,,,<,1.5e-17,,,,1.3e-16,8e-18,-0.843,0.323,,5.9e-17,6.6e-18,-0.370,0.110,,3.4e-17,2.1e-18,-0.128,0.018,<,1e-15,,,,<,2.1e-17,,,,,,,,,,,2.2e-16,9e-18,-1.385,0.324,,2.4e-16,1.4e-17,-1.516,0.574,,1.2e-16,9e-18,-0.094,0.012,,2.3e-16,1.4e-17,-0.144,0.013,,1.1e-16,1.3e-17,-0.049,0.006,3.7e-17,8.4e-18,-0.438,0.177,2.2e-17,1.5e-17,-0.260,0.193
sp,SSTc2d160901.4-392512,,,16 09 01.40,-39 25 11.9,2011-04-23,55674.2260,2x450,2x450,2x450,20,80,45,3,[EDJ2009]  75,M4.0,3270,0.50,200,0.148,0.068,1.25,0.29,0.20,0.10,0.05,,1,,Sz94,0.84,3.85,-3.0,0.04,-9.59,0.35,447,16.92,0.05,15.31,,0.05,15.23,0.01,13.49,0.01,13.23,0.01,11.61,0.02,10.68,0.02,10.29,0.02,,43.48,0.84,,44.70,2.95,,34.00,2.95,,33.73,0.62,,30.60,1.61,,25.80,,1.29,,23.40,0.45,,58.98,2.23,,42.20,,3.96,,114.0,15.0,SST c2dJ1609,1.4e-13,3e-15,-4.140,0.248,9e-15,3.6e-16,-0.823,0.054,7.2e-15,4.1e-16,-1.082,0.080,6.1e-15,8.6e-16,-1.223,0.292,5.8e-15,+,1.5e-16,-1.620,0.091,5.9e-15,4.6e-16,-1.772,0.294,4.9e-15,3.3e-16,-1.303,0.234,,4.2e-15,5.2e-16,-1.522,0.336,,3e-15,4e-16,-0.993,0.220,,2e-15,1.7e-16,-0.650,0.102,,1.8e-15,1.3e-16,-0.798,0.106,,1.1e-15,1.6e-16,-0.358,0.070,,8.9e-16,1.6e-16,-0.255,0.063,<,5.9e-15,,,,,6e-15,1.8e-15,-0.082,0.022,,4e-15,2.5e-16,-0.033,0.003,<,3.4e-15,,,,,2.5e-15,5.3e-16,-0.038,0.007,,1.7e-15,3.5e-16,-0.021,0.002,<,1.2e-15,,,,<,5.2e-15,,,,,6.4e-16,9e-17,-0.131,0.027,,1.2e-15,1.6e-16,-0.137,0.028,<,1.6e-16,,,,,6.1e-16,3.5e-17,-0.066,0.005,3e-15,1.7e-16,-0.175,0.014,,1.2e-15,1.5e-16,-0.044,0.006,,8.7e-16,4.5e-17,-0.027,0.002,,3.1e-14,5.6e-15,-0.368,0.081,,7e-16,1.5e-16,-0.053,0.013,,5.8e-16,2.6e-17,-0.055,0.003,,,3.9e-15,2.9e-16,-1.129,0.251,,6.6e-15,2.9e-16,-1.634,0.058,,5e-15,9e-17,-0.085,0.002,,3.3e-15,2e-17,-0.062,0.001,,3.3e-15,7e-17,-0.057,0.001,3.2e-16,2.6e-17,-0.017,0.014,8.9e-17,3.1e-17,-0.005,0.010
sp,Sz114,V908 Sco,,16 09 01.84,-39 05 12.5,2011-04-23,55674.3850,2x300,2x300,2x300,30,90,30,3,Sz114,M4.8,3175,0.30,200,0.312,0.144,1.82,0.42,0.30,0.05,0.10,,1,,Sz94,0.67,2.07,-2.5,0.05,-9.11,0.26,222,15.33,0.04,14.12,:,,14.73,0.01,12.54,0.01,11.58,0.01,10.41,0.02,9.70,0.02,9.32,0.02,,118.34,2.51,,95.70,5.43,,101.00,5.43,,124.17,2.40,,97.20,4.66,,121.00,,6.02,,170.28,2.35,,374.53,8.28,,347.00,,32.30,,257.0,30.5,Sz114,2.9e-13,5e-15,-4.496,0.338,4.6e-14,1.4e-15,-2.101,0.190,2.8e-14,7e-16,-1.767,0.151,2.4e-14,1.5e-15,-1.943,0.333,2e-14,,1.2e-15,-1.960,0.523,1.8e-14,7e-16,-2.444,0.430,1.4e-14,4e-16,-1.874,0.149,,1e-14,7e-16,-1.415,0.234,,8.5e-15,6e-17,-1.280,0.024,,6.4e-15,6e-16,-1.186,0.335,,5e-15,3.5e-16,-0.937,0.140,,4e-15,1.5e-16,-0.772,0.077,,3.5e-15,5.3e-16,-0.761,0.207,,4.9e-15,1.8e-15,-0.023,0.009,,8.8e-15,3.5e-15,-0.042,0.016,<,5.5e-15,,,,<,5.1e-15,,,,,6.6e-15,3.1e-15,-0.053,0.016,<,2.2e-15,,,,<,2.7e-15,,,,<,9e-15,,,,,1.4e-15,2.3e-16,-0.118,0.030,,2.3e-15,2.2e-16,-0.124,0.016,<,8.1e-17,,,,,1.1e-15,1.1e-16,-0.060,0.006,5.2e-15,2.5e-16,-0.162,0.012,,1.8e-15,2.6e-16,-0.036,0.006,,1.7e-15,2.6e-16,-0.026,0.005,,7.1e-14,6.7e-15,-0.315,0.038,,1.5e-15,3.5e-16,-0.047,0.013,,9.5e-16,1e-16,-0.047,0.006,,,2.1e-14,3e-16,-2.932,0.303,,2.1e-14,1e-15,-2.383,0.523,,1.1e-14,3e-16,-0.079,0.003,,1e-14,3e-16,-0.080,0.003,,7.4e-15,1.9e-16,-0.050,0.001,2.2e-15,1.1e-16,-0.065,0.008,1.6e-15,1.9e-16,-0.047,0.008
sp,Sz115,,,16 09 06.21,-39 08 51.8,2012-04-18,56035.3469,2x350,2x300,2x350,20,70,45,3,Sz115,M4.5,3197,0.50,200,0.175,0.080,1.36,0.31,0.17,0.08,0.08,,1,,SO797,0.53,1.00,-2.7,0.10,-9.19,0.07,338,16.88,0.05,15.48,,0.05,15.17,0.01,13.12,0.01,12.44,0.01,11.33,0.03,10.65,0.03,10.45,0.03,,25.94,0.55,,22.20,1.36,,18.40,1.36,,18.79,0.38,,14.80,0.72,,12.40,,0.59,,10.59,0.51,,12.53,1.66,,10.50,,1.01,<,50.0,,Sz115,3.9e-14,2.2e-15,-1.132,0.112,1.1e-14,7e-16,-0.939,0.117,6.7e-15,1.4e-16,-0.846,0.035,4.7e-15,3.8e-16,-0.810,0.127,3.5e-15,,5.7e-16,-1.181,0.350,2.9e-15,2.9e-16,-0.765,0.190,2.4e-15,1.8e-16,-0.899,0.137,,1.8e-15,1.9e-16,-0.580,0.145,,1.4e-15,2.3e-16,-0.530,0.127,,9.6e-16,1.8e-16,-0.375,0.134,,7.1e-16,1.2e-16,-0.315,0.118,,5.9e-16,1.1e-16,-0.236,0.038,,5.3e-16,1.2e-16,-0.300,0.059,<,2.5e-15,,,,<,8.5e-16,,,,,,,,,,,,,,,,,,,,,,,,<,8.6e-16,,,,,,,,,,3.2e-16,4.9e-17,-0.056,0.013,,4.2e-16,7.2e-17,-0.043,0.008,,,,,,,2.6e-16,2.8e-17,-0.027,0.003,1.3e-15,1.5e-16,-0.081,0.012,,4.3e-16,9.4e-17,-0.016,0.004,,3.1e-16,3.9e-17,-0.008,0.001,,,,,,,1.7e-16,2.8e-17,-0.010,0.002,,1.2e-16,3.2e-17,-0.012,0.003,,,7.1e-15,1.5e-16,-2.067,0.254,,6.3e-15,1.1e-16,-1.358,0.063,,3e-15,8e-17,-0.044,0.001,,2e-15,1.4e-16,-0.032,0.002,,1.4e-15,6e-17,-0.021,0.001,5.8e-16,1.7e-16,-0.031,0.008,2.9e-16,2.2e-16,-0.016,0.008
sp,Lup818s,,+,16 09 56.29,-38 59 51.7,2011-04-23,55674.2442,2x900,2x900,2x900,5,25,33,3,[LEM2005] Lup818s,M6.0,2990,0.00,200,0.025,0.011,0.58,0.13,0.08,0.02,0.02,,3,"1,2",SO925,1.06,4.00,-4.1,0.08,-10.63,0.48,200,17.37,0.05,,,,17.58,0.02,15.28,0.01,14.24,0.01,13.01,0.03,12.39,0.03,11.99,0.03,,7.42,0.26,,7.44,0.39,,6.50,0.39,,7.17,0.20,,5.81,0.29,,7.63,,0.37,,7.52,0.21,,12.45,1.01,,11.70,,1.12,,96.9,22.1,Lup818s,1.1e-14,2e-16,-5.429,0.369,2.8e-15,8e-17,-4.887,0.848,2e-15,9e-17,-6.414,2.350,1.5e-15,5e-17,-5.204,1.530,1.2e-15,,1e-17,-3.297,0.830,9.3e-16,8.1e-17,-2.033,0.814,7e-16,5.6e-17,-2.145,0.929,,4.8e-16,3.6e-17,-1.295,0.361,,3.3e-16,3.2e-17,-1.116,0.406,,2e-16,2e-18,-0.673,0.062,,1.5e-16,2.8e-17,-0.621,0.203,,1.1e-16,2.2e-17,-0.377,0.216,,1e-16,2.6e-17,-0.446,0.396,,3.4e-16,1.1e-16,-0.016,0.006,,6.2e-16,3.6e-16,-0.044,0.020,<,4.8e-16,,,,<,4.5e-16,,,,<,4.2e-16,,,,<,1.2e-16,,,,<,2.3e-16,,,,<,9.9e-16,,,,,5.5e-17,1.4e-17,-0.205,0.118,,1.1e-16,2e-17,-0.263,0.105,,,,,,<,4.7e-17,,,,3.5e-16,2.8e-17,-0.448,0.102,,2e-16,3.9e-17,-0.144,0.039,,1e-16,1.1e-17,-0.047,0.006,,3.1e-15,3.7e-16,-0.170,0.025,<,2.4e-17,,,,,3.2e-17,6.3e-18,-0.069,0.019,,,7.4e-16,2.1e-17,-2.176,0.553,,7.5e-16,1.3e-17,-1.594,0.300,,4.1e-16,1.1e-17,-0.060,0.002,,5.6e-16,3.7e-17,-0.072,0.005,<,3.5e-16,,,,2.8e-16,7e-18,-0.259,0.087,2.2e-16,9e-18,-0.205,0.072
sp,Sz123A (S),,,16 10 51.34,-38 53 14.6,2012-04-18,56035.2784,2x700,2x600,2x350,25,60,45,3,Sz123,M1,3705,1.25,200,0.203,0.093,1.10,0.25,0.60,0.20,0.03,,7,,TWA2A,1.71,2.71,-1.8,0.22,-8.93,0.30,487,16.27,0.05,14.90,,0.05,15.04,0.01,13.37,0.01,12.68,0.01,11.47,0.02,10.55,0.02,10.03,0.02,<,55.20,,<,59.90,,<,50.40,,<,45.97,,<,42.60,,<,44.90,,,<,43.65,,<,72.36,,<,61.00,,,<,327.0,,Sz123A (S),2e-12,1e-14,-18.491,0.463,3e-13,5e-15,-6.204,0.373,1.7e-13,4e-15,-4.582,0.273,1.3e-13,4e-15,-4.076,0.310,1e-13,,2e-15,-3.630,0.161,9.1e-14,6.5e-15,-3.243,0.571,7.5e-14,2.2e-15,-2.793,0.174,,6e-14,2e-15,-2.235,0.137,,4.5e-14,1.1e-15,-1.561,0.079,,3e-14,9e-16,-0.944,0.051,,2.5e-14,1.9e-15,-0.782,0.111,,1.9e-14,2e-16,-0.507,0.012,,1.6e-14,8e-16,-0.454,0.040,,9e-14,1.2e-14,-0.767,0.133,,6.1e-14,9.4e-15,-0.451,0.084,,4.1e-14,6.2e-15,-0.299,0.052,,2.4e-14,2.6e-15,-0.150,0.018,,2e-14,2e-15,-0.121,0.013,,1.9e-14,1.3e-15,-0.123,0.010,,1.8e-14,3.6e-15,-0.358,0.079,<,5e-15,,,,,6.8e-15,5.7e-16,-0.222,0.029,,1.3e-14,7e-16,-0.305,0.026,,1.9e-15,2.7e-16,-0.039,0.006,,3.9e-15,2.4e-16,-0.087,0.007,2.4e-14,1.1e-15,-0.405,0.029,,8.1e-15,4.7e-16,-0.106,0.008,,4.3e-15,2.6e-16,-0.044,0.003,,5.1e-14,4.5e-15,-0.369,0.042,,5.7e-15,7.2e-16,-0.104,0.017,,4.1e-15,1.4e-16,-0.089,0.004,,,6.4e-14,3e-16,-2.473,0.564,,6.4e-14,9e-16,-2.084,0.198,,1.6e-14,2e-16,-0.117,0.002,,2.7e-14,3e-16,-0.193,0.002,,2.3e-14,2e-16,-0.161,0.002,2.1e-14,3e-16,-0.330,0.039,1.4e-14,2e-16,-0.214,0.026
sp,Sz123B (N),,,16 10 51.31,-38 53 12.8,2012-04-18,56035.2784,2x700,2x600,2x350,25,70,35,3,Sz123,M2.0,3560,0.00,200,0.051,0.024,0.58,0.13,0.50,0.00,0.10,,40,3,TWA15B,1.36,2.45,-2.7,0.09,-10.03,0.36,519,17.22,0.05,15.72,,0.05,15.79,0.01,14.29,0.01,13.84,0.01,12.42,0.02,11.63,0.02,11.51,0.02,<,55.20,,<,59.90,,<,50.40,,<,45.97,,<,42.60,,<,44.90,,,<,43.65,,<,72.36,,<,61.00,,,<,327.0,,Sz123B (N),3.1e-13,3e-15,-17.293,0.790,4.3e-14,9e-16,-6.841,0.669,1.8e-14,4e-16,-4.108,0.298,1.1e-14,5e-16,-2.765,0.497,7.8e-15,,2.6e-16,-2.303,0.385,7e-15,6.3e-16,-2.979,0.791,5.1e-15,5.2e-16,-2.069,0.583,,4.1e-15,5.1e-16,-1.976,0.634,,3e-15,4.1e-16,-1.393,0.521,,2.2e-15,3.6e-16,-0.915,0.351,,3e-15,3.6e-16,-1.030,0.406,,1.5e-15,2.6e-16,-0.668,0.221,,1.1e-15,2e-16,-0.480,0.180,,2.2e-14,3.9e-15,-0.888,0.239,,1.4e-14,2.2e-15,-0.537,0.106,,9.5e-15,1.9e-15,-0.370,0.086,,6.2e-15,1.1e-15,-0.206,0.045,,5.1e-15,1.6e-15,-0.159,0.055,,3e-15,5.3e-16,-0.068,0.021,,5.7e-15,1e-15,-0.690,0.151,,9.5e-15,7.8e-16,-0.925,0.112,,6.3e-16,8.7e-17,-0.256,0.061,,1.6e-15,1.4e-16,-0.375,0.049,,1.9e-16,4.6e-17,-0.033,0.009,,9.9e-16,2.6e-16,-0.166,0.058,4.5e-15,4.6e-16,-0.510,0.086,,1.4e-15,1.8e-16,-0.101,0.017,,9.3e-16,1e-16,-0.052,0.007,,1.4e-14,2.5e-15,-0.537,0.130,,9.2e-16,1.5e-16,-0.134,0.028,,5.6e-16,7.9e-17,-0.103,0.019,,,6.2e-15,4.2e-16,-3.258,1.390,,7.9e-15,1.1e-15,-2.989,0.711,,5.2e-15,1.4e-16,-0.186,0.007,,7.1e-15,2.9e-16,-0.273,0.013,,6.2e-15,2.9e-16,-0.226,0.013,3.3e-15,1.7e-16,-0.347,0.043,2e-15,1.1e-16,-0.211,0.027
sp,SST-Lup3-1,,+,16 11 59.81,-38 23 38.5,2010-04-06,55292.3781,2x450,2x450,2x450,6,35,40,3,SST-Lup3-1,M5.0,3125,0.00,200,0.059,0.027,0.85,0.19,0.13,0.02,0.04,,2,,SO641,1.23,6.00,-3.6,0.03,-10.17,0.48,254,18.17,0.05,16.55,,0.05,16.25,0.01,14.26,0.01,13.46,0.01,12.20,0.02,11.51,0.03,11.20,0.02,,14.02,0.30,,15.80,0.84,,13.10,0.84,,11.48,0.21,,11.00,0.53,,12.90,,0.61,,13.27,0.31,,20.70,1.64,,21.00,,1.98,<,50.0,,SST-Lup3-1,3.2e-14,1.1e-15,-4.324,0.559,8.6e-15,2.6e-16,-4.870,0.650,6.2e-15,1.6e-16,-6.160,0.630,4.8e-15,1.5e-16,-5.613,0.998,3.5e-15,,7e-17,-3.467,0.700,2.9e-15,2e-16,-3.740,1.670,2.2e-15,1.5e-16,-3.418,1.320,,1.6e-15,1.5e-16,-2.644,1.320,,1.4e-15,1.1e-16,-3.187,0.873,,9.2e-16,6.8e-17,-1.539,0.606,,6.4e-16,4.6e-17,-2.175,0.476,,6e-16,7.2e-17,-1.257,0.385,,4.9e-16,5.1e-17,-1.311,0.629,,4e-15,7e-16,-0.028,0.010,,3.7e-15,1.3e-15,-0.074,0.024,<,1.6e-15,,,,<,9.1e-16,,,,<,7.2e-16,,,,,3e-16,6.4e-17,-0.008,0.002,,,,,,<,2.9e-15,,,,,1.8e-16,2.1e-17,-0.218,0.042,,3.8e-16,3.9e-17,-0.276,0.058,,,,,,,9.7e-17,1.7e-17,-0.055,0.013,1.1e-15,4e-17,-0.458,0.038,,4.8e-16,4.9e-17,-0.096,0.014,,3.4e-16,4.8e-17,-0.047,0.008,,7.8e-15,1.7e-15,-0.148,0.039,,2.7e-16,6.3e-17,-0.105,0.031,,1.9e-16,1.9e-17,-0.148,0.021,,,2.2e-15,5e-17,-3.132,0.697,,2.3e-15,1.7e-16,-2.322,0.361,,1.3e-15,3e-17,-0.060,0.002,,1.6e-15,1.2e-16,-0.068,0.006,,1.2e-15,4e-17,-0.047,0.002,2.4e-16,2.3e-17,-0.084,0.019,1.7e-16,1.8e-17,-0.058,0.019
